fotmob_player_id,sportsapi_player_id,player_name,team_name,competition_name,season_name,tournament_id,season_id,heatmap_key,activity_filter,in_box_ratio,out_box_final_ratio,mid_third_ratio,final_third_ratio,sample_points,generated_at
738064,795005,Salih Özcan,,Bundesliga,2025/2026,35,77333,738064:35:77333,cluster-v1,0,70,30,70,23,2026-08-08T00:41:44.688172+00:00
1486537,1418703,Max Moerstedt,,Bundesliga,2025/2026,35,77333,1486537:35:77333,cluster-v1,13,31,56,44,61,2026-08-08T00:41:48.204299+00:00
1135609,1021075,William Bøving,,Bundesliga,2025/2026,35,77333,1135609:35:77333,cluster-v1,0,40,60,40,10,2026-08-08T00:41:50.260822+00:00
187358,78781,Florian Kainz,,Bundesliga,2025/2026,35,77333,187358:35:77333,cluster-v1,0,40,60,40,70,2026-08-08T00:41:53.575475+00:00
177714,66518,Mario Götze,,Bundesliga,2025/2026,35,77333,177714:35:77333,cluster-v1,2,33,65,35,372,2026-08-08T00:41:55.506717+00:00
266527,135264,Yussuf Poulsen,,Bundesliga,2025/2026,35,77333,266527:35:77333,cluster-v1,14,49,37,63,49,2026-08-08T00:42:15.411433+00:00
1210384,1064082,Merlin Röhl,,Bundesliga,2025/2026,35,77333,1210384:35:77333,cluster-v1,0,0,100,0,3,2026-08-08T00:42:16.869587+00:00
1288195,1134578,Cole Campbell,,Bundesliga,2025/2026,35,77333,1288195:35:77333,cluster-v1,29,71,0,100,7,2026-08-08T00:42:18.541540+00:00
1222166,1097453,Luca Kerber,,Bundesliga,2025/2026,35,77333,1222166:35:77333,cluster-v1,6,11,83,17,47,2026-08-08T00:42:24.002684+00:00
794393,845742,Adrian Beck,,Bundesliga,2025/2026,35,77333,794393:35:77333,cluster-v1,0,26,74,26,315,2026-08-08T00:42:25.918755+00:00
1367614,1152505,Nelson Weiper,,Bundesliga,2025/2026,35,77333,1367614:35:77333,cluster-v1,19,54,27,73,101,2026-08-08T00:42:27.944374+00:00
1486264,1482424,Claudio Echeverri,,Bundesliga,2025/2026,35,77333,1486264:35:77333,cluster-v1,0,100,0,100,3,2026-08-08T00:42:31.782566+00:00
1310001,1155383,Ezechiel Banzuzi,,Bundesliga,2025/2026,35,77333,1310001:35:77333,cluster-v1,2,23,75,25,165,2026-08-08T00:42:33.745554+00:00
1482294,1494826,Conrad Harder,,Bundesliga,2025/2026,35,77333,1482294:35:77333,cluster-v1,20,44,36,64,248,2026-08-08T00:42:35.822554+00:00
836797,825740,Alex Král,,Bundesliga,2025/2026,35,77333,836797:35:77333,cluster-v1,4,43,53,47,55,2026-08-08T00:42:40.050226+00:00
1285773,1130946,Elias Saad,,Bundesliga,2025/2026,35,77333,1285773:35:77333,cluster-v1,1,55,44,56,143,2026-08-08T00:42:41.840257+00:00
1280025,1130950,Grant-Leon Ranos,,Bundesliga,2025/2026,35,77333,1280025:35:77333,cluster-v1,17,67,16,84,18,2026-08-08T00:42:43.648982+00:00
1002673,933707,Jan Schöppner,,Bundesliga,2025/2026,35,77333,1002673:35:77333,cluster-v1,5,26,69,31,675,2026-08-08T00:42:47.342484+00:00
1482733,1426577,Tidiam Gomis,,Bundesliga,2025/2026,35,77333,1482733:35:77333,cluster-v1,7,46,47,53,70,2026-08-08T00:42:50.779474+00:00
574642,591706,Ellyes Skhiri,,Bundesliga,2025/2026,35,77333,574642:35:77333,cluster-v1,1,13,86,14,618,2026-08-08T00:42:52.829775+00:00
1000428,1112327,Ísak Bergmann Jóhannesson,,Bundesliga,2025/2026,35,77333,1000428:35:77333,cluster-v1,1,23,76,24,742,2026-08-08T00:42:55.071476+00:00
762721,841947,Lovro Majer,,Bundesliga,2025/2026,35,77333,762721:35:77333,cluster-v1,3,38,59,41,547,2026-08-08T00:42:57.131240+00:00
