fotmob_player_id,player_name,team_name,competition_name,season_name,reason
892709,Dennis Eckert,Union St.Gilloise,Belgian Pro League,2024/2025,missing_heatmap_session
1122232,Faisel Al-Ghamdi,Beerschot,Belgian Pro League,2024/2025,missing_heatmap_session
522203,Federico Ricca,OH Leuven,Belgian Pro League,2024/2025,missing_heatmap_session
1354085,Joel Ordóñez,Club Brugge,Belgian Pro League,2024/2025,missing_heatmap_session
1027594,Konan N’Dri,OH Leuven,Belgian Pro League,2024/2025,missing_heatmap_session
1178319,Louis Patris,St.Truiden,Belgian Pro League,2024/2025,missing_heatmap_session
1413996,Luka Vuskovic,Westerlo,Belgian Pro League,2024/2025,missing_heatmap_session
1396064,Léandre Kuavita,Standard Liege,Belgian Pro League,2024/2025,missing_heatmap_session
1134871,Maxim De Cuyper,Club Brugge,Belgian Pro League,2024/2025,missing_heatmap_session
727419,Ryoya Ogawa,St.Truiden,Belgian Pro League,2024/2025,missing_heatmap_session
1110862,Stélios Andreou,Sporting Charleroi,Belgian Pro League,2024/2025,missing_heatmap_session
1276501,Tuur Rommens,Westerlo,Belgian Pro League,2024/2025,missing_heatmap_session
1288907,Yacine Titraoui,Sporting Charleroi,Belgian Pro League,2024/2025,missing_heatmap_session
1287871,Zakaria El Ouahdi,Genk,Belgian Pro League,2024/2025,missing_heatmap_session
882163,Chukwubuike Adamu,Freiburg,Bundesliga,2024/2025,sportsapi_id_unresolved
844432,Jann-Fiete Arp,Holstein Kiel,Bundesliga,2024/2025,sportsapi_id_unresolved
613714,Jordan Pefok,Union Berlin,Bundesliga,2024/2025,sportsapi_id_unresolved
1286190,Anselmo MacNulty,PEC Zwolle,Eredivisie,2024/2025,sportsapi_id_unresolved
843767,Kornelius Hansen,Almere City FC,Eredivisie,2024/2025,sportsapi_id_unresolved
874482,Roberto González,NEC Nijmegen,Eredivisie,2024/2025,sportsapi_id_unresolved
1522438,Shiloh Zand,Heracles,Eredivisie,2024/2025,sportsapi_id_unresolved
1094778,Raúl García,Osasuna,LaLiga,2024/2025,sportsapi_id_unresolved
309334,Saúl,Sevilla,LaLiga,2024/2025,sportsapi_id_unresolved
875672,Hamed Traorè,Auxerre,Ligue 1,2024/2025,heatmap_request_failed
795179,Gabriel,Arsenal,Premier League,2024/2025,sportsapi_id_unresolved
1075457,Chuchu Ramírez,Vitoria de Guimaraes,Primeira Liga,2024/2025,sportsapi_id_unresolved
1252093,Dudu Teodora,Nacional,Primeira Liga,2024/2025,sportsapi_id_unresolved
1287941,Gabri Martínez,Braga,Primeira Liga,2024/2025,heatmap_request_failed
1459741,Isaac Aguiar,Nacional,Primeira Liga,2024/2025,heatmap_request_failed
1395944,Kaio,Vitoria de Guimaraes,Primeira Liga,2024/2025,sportsapi_id_unresolved
1044194,Vinícius,Santa Clara,Primeira Liga,2024/2025,heatmap_request_failed
1316088,Benja Domínguez,Bologna,Serie A,2024/2025,sportsapi_id_unresolved
526450,Emmanuel Quartsin Gyasi,Empoli,Serie A,2024/2025,sportsapi_id_unresolved
889535,Yann Aurel Bisseck,Inter,Serie A,2024/2025,sportsapi_id_unresolved
795179,Gabriel,Arsenal,UEFA Champions League,2024/2025,sportsapi_id_unresolved
959404,Silas Katompa Mvumpa,FK Crvena Zvezda,UEFA Champions League,2024/2025,sportsapi_id_unresolved
547710,Adama Traoré,Ferencvaros,UEFA Europa League,2024/2025,heatmap_request_failed
766160,Kady Malinowski,Ferencvaros,UEFA Europa League,2024/2025,sportsapi_id_unresolved
1220633,Prince Adu,Viktoria Plzen,UEFA Europa League,2024/2025,sportsapi_id_unresolved
1119168,Tural Bayramov,Qarabag FK,UEFA Europa League,2024/2025,sportsapi_id_unresolved
1668205,Abdoul Traoré,OH Leuven,Belgian Pro League,2025/2026,missing_heatmap_session
956576,Aiham Ousou,Sporting Charleroi,Belgian Pro League,2025/2026,missing_heatmap_session
1110599,Anton Tanghe,Zulte Waregem,Belgian Pro League,2025/2026,missing_heatmap_session
1227813,Atsuki Ito,Gent,Belgian Pro League,2025/2026,missing_heatmap_session
445873,Brandon Mechele,Club Brugge,Belgian Pro League,2025/2026,missing_heatmap_session
924446,Bryan Reynolds,Westerlo,Belgian Pro League,2025/2026,missing_heatmap_session
1406567,Cheick Keita,Sporting Charleroi,Belgian Pro League,2025/2026,missing_heatmap_session
892709,Dennis Eckert,Standard Liege,Belgian Pro League,2025/2026,missing_heatmap_session
1114123,Emin Bayram,Westerlo,Belgian Pro League,2025/2026,missing_heatmap_session
965823,Ewoud Pletinckx,OH Leuven,Belgian Pro League,2025/2026,missing_heatmap_session
1307394,Fabio Ferraro,FCV Dender EH,Belgian Pro League,2025/2026,missing_heatmap_session
1075033,Gary Magnée,Cercle Brugge,Belgian Pro League,2025/2026,missing_heatmap_session
1047662,Ibe Hautekiet,Standard Liege,Belgian Pro League,2025/2026,missing_heatmap_session
1785898,Ibrahima Diaby,Cercle Brugge,Belgian Pro League,2025/2026,missing_heatmap_session
728290,Kevin Mac Allister,Union St.Gilloise,Belgian Pro League,2025/2026,missing_heatmap_session
1110376,Kyan Vaesen,Westerlo,Belgian Pro League,2025/2026,missing_heatmap_session
820792,Kévin Van Den Kerkhof,Sporting Charleroi,Belgian Pro League,2025/2026,missing_heatmap_session
604396,Leonardo Lopes,Gent,Belgian Pro League,2025/2026,missing_heatmap_session
939427,Mujaid Sadick,Genk,Belgian Pro League,2025/2026,missing_heatmap_session
1216798,Nathan Saliba,Anderlecht,Belgian Pro League,2025/2026,missing_heatmap_session
1342516,Rein Van Helden,St.Truiden,Belgian Pro League,2025/2026,missing_heatmap_session
768266,Ross Sykes,Union St.Gilloise,Belgian Pro League,2025/2026,missing_heatmap_session
1288907,Yacine Titraoui,Sporting Charleroi,Belgian Pro League,2025/2026,missing_heatmap_session
1437306,Yuto Tsunashima,Royal Antwerp,Belgian Pro League,2025/2026,missing_heatmap_session
1287871,Zakaria El Ouahdi,Genk,Belgian Pro League,2025/2026,missing_heatmap_session
1047670,Andrej Ilic,Union Berlin,Bundesliga,2025/2026,missing_heatmap_session
1119643,Jan Thielmann,1. FC Köln,Bundesliga,2025/2026,sportsapi_id_unresolved
1124533,Kilian Sildillia,PSV Eindhoven,Eredivisie,2025/2026,sportsapi_id_unresolved
1383534,Weslley Pinto,AZ Alkmaar,Eredivisie,2025/2026,sportsapi_id_unresolved
852071,Juan Hernández,Real Betis,LaLiga,2025/2026,sportsapi_id_unresolved
1094778,Raúl García,Osasuna,LaLiga,2025/2026,sportsapi_id_unresolved
1130583,Samú,Mallorca,LaLiga,2025/2026,sportsapi_id_unresolved
1436270,Unai Gómez,Athletic Club,LaLiga,2025/2026,sportsapi_id_unresolved
601145,Habibou Mouhamadou Diallo,Metz,Ligue 1,2025/2026,sportsapi_id_unresolved
1040889,Junior Dina Ebimbe,Brest,Ligue 1,2025/2026,sportsapi_id_unresolved
437329,Mbwana Samatta,Le Havre,Ligue 1,2025/2026,sportsapi_id_unresolved
1202239,Mohamed Bamba,Lorient,Ligue 1,2025/2026,sportsapi_id_unresolved
795179,Gabriel,Arsenal,Premier League,2025/2026,sportsapi_id_unresolved
292313,Raul Jiménez,Fulham,Premier League,2025/2026,missing_heatmap_session
1075457,Chuchu Ramírez,Nacional,Primeira Liga,2025/2026,sportsapi_id_unresolved
1287941,Gabri Martínez,Braga,Primeira Liga,2025/2026,heatmap_request_failed
613714,Jordan Pefok,Tondela,Primeira Liga,2025/2026,sportsapi_id_unresolved
792303,Luis Suárez,Sporting CP,Primeira Liga,2025/2026,heatmap_request_failed
1284376,Marezi,Alverca,Primeira Liga,2025/2026,sportsapi_id_unresolved
1031656,Maxi Araújo,Sporting CP,Primeira Liga,2025/2026,sportsapi_id_unresolved
1174640,Pedro Maranhão,Tondela,Primeira Liga,2025/2026,sportsapi_id_unresolved
875133,Pote,Sporting CP,Primeira Liga,2025/2026,sportsapi_id_unresolved
1044194,Vinícius,Santa Clara,Primeira Liga,2025/2026,heatmap_request_failed
1355574,Giovane Nascimento,Hellas Verona,Serie A,2025/2026,sportsapi_id_unresolved
857269,Gleison Bremer,Juventus,Serie A,2025/2026,sportsapi_id_unresolved
355356,Marc-Oliver Kempf,Como,Serie A,2025/2026,sportsapi_id_unresolved
936164,Michel Ndary Adopo,Cagliari,Serie A,2025/2026,sportsapi_id_unresolved
889535,Yann Aurel Bisseck,Inter,Serie A,2025/2026,sportsapi_id_unresolved
792303,Luis Suárez,Sporting CP,UEFA Champions League,2025/2026,heatmap_request_failed
875133,Pote,Sporting CP,UEFA Champions League,2025/2026,sportsapi_id_unresolved
324910,Abdul Rahman Baba,PAOK Thessaloniki,UEFA Europa League,2025/2026,sportsapi_id_unresolved
1060604,Abner,Lyon,UEFA Europa League,2025/2026,sportsapi_id_unresolved
1208040,Caio,Ludogorets Razgrad,UEFA Europa League,2025/2026,sportsapi_id_unresolved
882163,Chukwubuike Adamu,Freiburg,UEFA Europa League,2025/2026,sportsapi_id_unresolved
1287941,Gabri Martínez,Braga,UEFA Europa League,2025/2026,heatmap_request_failed
852071,Juan Hernández,Real Betis,UEFA Europa League,2025/2026,sportsapi_id_unresolved
1166344,Kevin Carlos,Nice,UEFA Europa League,2025/2026,sportsapi_id_unresolved
