player_id,player_name,season_name,league_id,league_name,team_id,team_name,position,position_group,goals,xg,xgot,minutes_played,dribbles_succeeded,dribbles_success_rate,dispossessed,fouls_won,penalties_awarded,duels_won,duels_won_percentage,aerial_duels_won,aerial_duels_won_percentage,in_box_goals,in_box_xg,in_box_xgot,in_box_shots,out_box_goals,out_box_xg,out_box_xgot,out_box_shots
789630,Marcus Tavernier,2025/2026,47,Premier League,8678,,Attacking Midfielder,M,7.0,9.06,6.36,2738.0,39.0,43.8,44.0,35.0,0.0,138.0,43.3,24.0,38.7,5.0,7.2818051428377615,5.041627392172813,31.0,2.0,1.74190443661064,1.3106593675911433,39.0
674014,David Brooks,2025/2026,47,Premier League,8678,,Right Winger,,1.0,5.83,3.23,1199.0,17.0,41.5,10.0,13.0,0.0,55.0,41.4,6.0,31.6,1.0,4.926118625327944,2.892090007662772,35.0,0.0,0.9133410211652518,0.24651423189789018,13.0
312765,Jack Grealish,2025/2026,47,Premier League,8668,,Left Winger,,2.0,2.15,2.23,1631.0,23.0,40.4,30.0,58.0,0.0,106.0,50.5,4.0,17.4,1.0,1.9368243431672454,1.9116078838706025,19.0,1.0,0.20991080161184078,0.32073360960930547,7.0
1391052,Eliezer Mayenda,2025/2026,47,Premier League,8472,,Striker,F,2.0,2.14,3.78,756.0,11.0,34.4,21.0,11.0,0.0,42.0,34.4,15.0,34.1,2.0,2.0312342494726185,3.7796753197908415,11.0,0.0,0.1268807351589203,0.0,2.0
1072864,Tolu Arokodare,2025/2026,47,Premier League,8602,,Striker,F,3.0,5.46,4.04,1407.0,18.0,56.2,22.0,17.0,0.0,141.0,49.5,99.0,51.8,3.0,5.272162367628514,4.408386202529073,40.0,0.0,0.20610748464241624,0.0381239242851735,7.0
966026,Ian Maatsen,2025/2026,47,Premier League,10252,,Left Back,,0.0,1.3,0.92,1599.0,21.0,41.2,23.0,19.0,0.0,101.0,48.8,18.0,60.0,0.0,0.9798155594617124,0.912924468517304,13.0,0.0,0.28800814785063256,0.0102034425362945,7.0
637744,Marcus Edwards,2025/2026,47,Premier League,8191,,Right Winger,,1.0,1.49,0.99,1064.0,14.0,36.8,28.0,18.0,0.0,45.0,35.4,2.0,20.0,1.0,0.94374284800142,0.95162159949541,14.0,0.0,0.567576915025711,0.0,9.0
1171140,Jaidon Anthony,2025/2026,47,Premier League,8191,,Left Winger,,8.0,5.13,8.16,2735.0,36.0,35.6,41.0,47.0,1.0,134.0,41.6,12.0,32.4,8.0,4.675570759922266,7.075543873012065,39.0,0.0,0.5303053092211485,0.6615988612174998,16.0
883080,Morgan Rogers,2025/2026,47,Premier League,10252,,Attacking Midfielder,M,10.0,6.78,8.05,3285.0,42.0,35.6,80.0,49.0,0.0,158.0,35.7,26.0,29.5,7.0,5.512252466753125,5.734257183969021,49.0,3.0,1.3169606421142817,2.279486993327737,35.0
815006,Phil Foden,2025/2026,47,Premier League,8456,,Attacking Midfielder,M,7.0,6.42,5.79,2084.0,25.0,53.2,33.0,31.0,0.0,96.0,48.0,6.0,25.0,5.0,5.2203960865736,4.692442134022714,30.0,2.0,0.9270594250410795,1.3512867931276555,25.0
