player_id,player_name,team_name,league_id,league_name,season_name,reason
1035208,Victor Okoh Boniface,Bayer Leverkusen,73,Europa League,2023/2024,final_third_possessions_won_unavailable
1165710,Gonçalo Inácio,Sporting CP,73,Europa League,2023/2024,final_third_possessions_won_unavailable
540097,Patrik Schick,Bayer Leverkusen,73,Europa League,2023/2024,both_source_metrics_unavailable
919330,Bahlul Mustafazada,Qarabag FK,73,Europa League,2023/2024,final_third_possessions_won_unavailable
770136,Martin Terrier,Rennes,73,Europa League,2023/2024,final_third_possessions_won_unavailable
277761,Chancel Mbemba,Marseille,73,Europa League,2023/2024,final_third_possessions_won_unavailable
950485,Maxence Lacroix,Crystal Palace,47,Premier League,2024/2025,final_third_possessions_won_unavailable
888167,Kike Pérez,Real Valladolid,87,LaLiga,2024/2025,final_third_possessions_won_unavailable
1311985,César Tárrega,Valencia,87,LaLiga,2024/2025,final_third_possessions_won_unavailable
617310,Nayef Aguerd,Real Sociedad,87,LaLiga,2024/2025,final_third_possessions_won_unavailable
814663,Alejandro Catena,Osasuna,87,LaLiga,2024/2025,final_third_possessions_won_unavailable
