fotmob_player_id,sportsapi_player_id,player_name,team_name,tournament_id,season_id,mid_third_ratio,final_third_ratio,sample_points,generated_at
1224237,1099296,Mateo Pellegrino,,23,76457,48,52,1065,2026-08-07T08:32:37.679220+00:00
747926,835601,Moise Kean,,23,76457,36,64,639,2026-08-07T08:32:42.854369+00:00
935769,932643,Armand Laurienté,,23,76457,44,56,1094,2026-08-07T08:32:45.547414+00:00
704523,769333,Christopher Nkunku,,23,76457,48,52,518,2026-08-07T08:32:47.859269+00:00
1367618,1156616,Francesco Pio Esposito,,23,76457,44,56,665,2026-08-07T08:32:50.511440+00:00
1282008,1116577,Santiago Castro,,23,76457,50,50,777,2026-08-07T08:32:53.009459+00:00
286119,173827,Jamie Vardy,,23,76457,49,51,580,2026-08-07T08:32:55.575635+00:00
1368557,1217613,Gift Orban,,23,76457,46,54,708,2026-08-07T08:32:57.985786+00:00
506776,346948,Stefano Moreo,,23,76457,56,44,870,2026-08-07T08:33:00.726837+00:00
1050163,930191,Lorenzo Colombo,,23,76457,51,49,998,2026-08-07T08:33:05.066729+00:00
939569,935564,Jonathan David,,23,76457,44,56,834,2026-08-07T08:33:07.683417+00:00
818893,864898,Nicolò Zaniolo,,23,76457,51,49,1108,2026-08-07T08:33:12.910927+00:00
1199383,1086223,Ange-Yoan Bonny,,23,76457,42,58,520,2026-08-07T08:33:15.372348+00:00
613334,788061,M'bala Nzola,,23,76457,46,54,627,2026-08-07T08:33:20.666405+00:00
1017401,958982,Roberto Piccoli,,23,76457,47,53,594,2026-08-07T08:33:23.567475+00:00
1016093,976381,Gustav Isaksen,,23,76457,42,58,725,2026-08-07T08:33:30.706953+00:00
213501,125407,Álvaro Morata,,23,76457,50,50,419,2026-08-07T08:33:33.228475+00:00
1282285,1069244,Tijjani Noslin,,23,76457,53,47,559,2026-08-07T08:33:35.770622+00:00
325916,256219,Paulo Dybala,,23,76457,44,56,931,2026-08-07T08:33:38.294418+00:00
1285599,1170773,Giovane,,23,76457,44,56,942,2026-08-07T08:33:41.030102+00:00
1044029,971005,Nicolò Cambiaghi,,23,76457,40,60,638,2026-08-07T08:33:43.595574+00:00
643229,367056,Jérémie Boga,,23,76457,38,62,341,2026-08-07T08:33:45.201135+00:00
793066,850993,David Neres,,23,76457,38,62,525,2026-08-07T08:33:47.576468+00:00
