fotmob_player_id,player_name,competition_name,season_name,heatmap_key,reason
1065615,Nino Žugelj,UEFA Europa Conference League,2023/2024,1065615:17015:52327,snapshot_missing
635942,Gísli Eyjólfsson,UEFA Europa Conference League,2023/2024,635942:17015:52327,snapshot_missing
1089731,Pedro Gonçalves,UEFA Europa League,2023/2024,1089731:679:53654,snapshot_missing
185389,Magnus Wolff Eikrem,UEFA Europa League,2023/2024,185389:679:53654,snapshot_missing
88999,Mikkel Rygaard,UEFA Europa League,2023/2024,88999:679:53654,snapshot_missing
952325,Faris Moumbagna,UEFA Europa League,2023/2024,952325:679:53654,snapshot_missing
848296,Edward Chilufya,UEFA Europa League,2023/2024,848296:679:53654,snapshot_missing
469806,Amor Layouni,UEFA Europa League,2023/2024,469806:679:53654,snapshot_missing
1389450,Eguinaldo,UEFA Europa League,2023/2024,1389450:679:53654,snapshot_missing
1174663,Marcos Leonardo,UEFA Europa League,2023/2024,1174663:679:53654,snapshot_missing
1650431,Ally Samatta,UEFA Europa League,2021/2022,1650431:679:37725,snapshot_missing
826089,Kyogo Furuhashi,UEFA Europa League,2021/2022,826089:679:37725,snapshot_missing
845763,André Castro,UEFA Europa League,2021/2022,845763:679:37725,snapshot_missing
917779,Ola Solbakken,UEFA Europa Conference League,2021/2022,917779:17015:37074,snapshot_missing
313121,Amahl Pellegrino,UEFA Europa Conference League,2021/2022,313121:17015:37074,snapshot_missing
310763,Ulrik Saltnes,UEFA Europa Conference League,2021/2022,310763:17015:37074,snapshot_missing
741561,Erik Botheim,UEFA Europa Conference League,2021/2022,741561:17015:37074,snapshot_missing
431841,Rauno Sappinen,UEFA Europa Conference League,2021/2022,431841:17015:37074,snapshot_missing
573663,José Kanté,UEFA Europa Conference League,2021/2022,573663:17015:37074,snapshot_missing
837064,Hugo Vetlesen,UEFA Europa Conference League,2021/2022,837064:17015:37074,snapshot_missing
166717,Denis Popovič,UEFA Europa Conference League,2021/2022,166717:17015:37074,snapshot_missing
1000428,Ísak Bergmann Jóhannesson,UEFA Europa Conference League,2021/2022,1000428:17015:37074,snapshot_missing
574868,Lucas Lingman,UEFA Europa Conference League,2021/2022,574868:17015:37074,snapshot_missing
16511,Konstantin Vassiljev,UEFA Europa Conference League,2021/2022,16511:17015:37074,snapshot_missing
66753,Riku Riski,UEFA Europa Conference League,2021/2022,66753:17015:37074,snapshot_missing
580604,Gerson,UEFA Europa Conference League,2021/2022,580604:17015:37074,snapshot_missing
643663,Ibrahima Wadji,UEFA Europa Conference League,2021/2022,643663:17015:37074,snapshot_missing
77872,Sergei Zenjov,UEFA Europa Conference League,2021/2022,77872:17015:37074,snapshot_missing
201939,Cédric Bakambu,UEFA Europa Conference League,2021/2022,201939:17015:37074,snapshot_missing
530635,Patrick Berg,UEFA Europa Conference League,2021/2022,530635:17015:37074,snapshot_missing
841927,Markus Poom,UEFA Europa Conference League,2021/2022,841927:17015:37074,snapshot_missing
187294,Filip Valenčič,UEFA Europa Conference League,2021/2022,187294:17015:37074,snapshot_missing
212896,Henrik Ojamaa,UEFA Europa Conference League,2021/2022,212896:17015:37074,snapshot_missing
